report_year,division,count
2014,D22,5
2014,D31,1
2014,D23,2
2014,D31,43
2014,D23,12
2014,D31,13
2014,D31,2
2014,D23,3
2014,D23,1
2014,D22,3
2014,D31,2
2014,D31,10
2014,D31,6
2014,D23,12
2014,D23,6
2014,D23,41
2014,D22,7
2014,D31,34
2014,D31,29
2014,D31,1
2014,D23,2
2014,D23,42
2014,D23,4
2014,D22,1
2014,D31,23
2014,D31,4
2014,D31,63
2014,D31,64
2014,D23,18
2014,D23,5
2014,D22,4
2014,D31,74
2014,D31,30
2014,D31,37
2014,D31,20
2014,D23,132
2014,D22,1
2014,D23,7
2014,D31,4
2014,D31,22
2014,D31,55
2014,D31,83
2014,D31,35
2014,D23,83
2014,D31,4
2014,D23,4
2014,D22,1
2014,D31,12
2014,D31,53
2014,D31,4
2014,D23,214
2014,D31,12
2014,D23,11
2014,D22,1
2014,D31,24
2014,D31,25
2014,D31,48
2014,D23,304
2014,D31,3
2014,D23,12
2014,D22,1
2014,D31,7
2014,D31,1
2014,D31,9
2014,D23,19
2014,D31,1
2014,D23,6
2014,D22,2
2014,D31,85
2014,D31,10
2014,D31,52
2014,D23,1
2014,D31,1
2014,D23,2
2014,D22,1
2014,D31,5
2014,D31,65
2014,D31,41
2014,D23,94
2014,D31,13
2014,D23,9
2014,D22,4
2014,D31,48
2014,D31,43
2014,D31,22
2014,D31,45
2014,D31,70
2014,D31,36
2014,D31,68
2014,D31,10
2014,D31,85
2014,D31,15
2014,D31,7
2014,D31,19
2014,D31,4
2014,D31,8
2014,D31,1
2014,D31,17
2014,D31,1
2014,D31,21
2014,D31,6
2014,D31,2
2014,D31,4
2014,D31,44
2014,D31,17
2014,D31,11
2014,D31,1
2014,D31,20
2014,D31,5
2014,D31,6
2014,D31,10
2014,D31,6
2014,D31,8
2014,D31,24
2014,D31,4
2014,D31,13
2014,D31,1
2014,D31,3
2014,D31,2
2014,D31,23
2014,D23,10
2014,D23,21
2014,D31,2
2014,D31,48
2014,D23,2
2014,D23,48
2014,D32,6
2014,D31,21
